@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R7,9-12,21,23-24,29,31,33-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.instance.Randomize-S1-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.Randomize -S 1'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
10,6,True,True,True,True,East,1,1,3,1,13,6,7,1,-1,-1,3,-1,574,East
8,6,True,True,True,True,East,1,1,10,5,13,6,23,3,-1,3,5,19,176,East
18,6,False,True,True,True,East,1,1,3,1,5,1,25,7,-1,-1,-1,8,542,East
5,7,True,True,True,True,South,1,1,11,3,17,6,25,7,-1,10,13,20,174,South
17,8,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,6,6,2265,North
18,10,True,True,True,True,East,1,1,3,1,19,10,7,1,-1,-1,1,-1,4139,North
14,16,True,True,False,True,South,10,15,13,15,14,15,17,15,5,2,1,4,-30,South
18,5,True,False,False,True,East,10,15,13,15,14,15,17,15,18,15,14,11,-7,North
13,11,True,True,True,True,East,4,6,3,13,11,8,7,1,14,12,5,-1,191,South
11,7,True,True,True,True,East,1,1,12,7,23,11,20,10,-1,1,16,13,1773,East
7,11,True,True,True,True,East,9,3,11,7,19,12,22,9,10,8,13,17,292,South
11,6,True,True,False,True,East,1,1,11,3,17,6,25,7,-1,3,6,15,167,South
7,8,True,True,True,True,South,9,3,11,7,19,12,22,9,7,5,16,16,589,South
15,4,False,True,True,True,East,1,1,3,1,5,1,22,4,-1,-1,-1,8,549,East
9,3,True,False,True,True,West,1,1,3,1,19,12,22,9,-1,-1,19,19,1578,North
14,15,True,False,True,True,West,13,17,3,1,5,1,7,1,3,-1,-1,-1,563,West
